date,block,plot,bg,sp.type,ss.old,ss.tillers,ss.seeds.per.tiller,ss.new.seeded,ss.new.unseeded,weed.gram.perc,weed.forb.perc,notes
2024-04-29,1,1,S_P low,phyto,1,1,15,1,0,10,5,
2024-04-29,1,2,control,phyto,2,0,im,1,0,30,20,
2024-04-29,1,2,control,phyto,2,2,,,,,,
2024-04-29,1,3,A low,phyto,1,1,im,0,0,15,5,
2024-04-29,1,4,S_s low,phyto,3,1,17,unweeded,0,65,25,
2024-04-29,1,4,S_s low,phyto,3,3,,,,,,
2024-04-29,1,4,S_s low,phyto,3,2,,,,,,
2024-04-29,1,4,control,phyto,1,0,NA,,,,,
2024-04-29,1,5,control,phyto,1,0,,1,0,25,10,
2024-04-29,1,6,S_P high,phyto,0,,,4,0,5,5,
2024-04-29,1,7,S_s high,phyto,5,12,12,unweeded,,70,15,
2024-04-29,1,7,S_s high,phyto,5,0,,,,,,
2024-04-29,1,7,S_s high,phyto,5,2,,,,,,
2024-04-29,1,7,S_s high,phyto,5,1,,,,,,
2024-04-29,1,7,S_s high,phyto,5,1,,,,,,
2024-04-29,1,8,A high,phyto,0,NA,NA,5,0,50,15,
2024-04-29,1,9,S_P high,big,0,NA,NA,0,0,15,5,
2024-04-29,1,10,S_P high,big,1,0,NA,1,0,10,5,
2024-04-29,2,1,A low,phyto,0,,,0,0,0,40,
2024-04-29,2,2,S_s high,phyto,6,6,12,x,0,25,40,
2024-04-29,2,2,S_s high,phyto,6,11,,,,,,
2024-04-29,2,2,S_s high,phyto,6,1,,,,,,
2024-04-29,2,2,S_s high,phyto,6,4,,,,,,
2024-04-29,2,2,S_s high,phyto,6,10,,,,,,
2024-04-29,2,2,S_s high,phyto,6,2,,,,,,
2024-04-29,2,3,control,phyto,2,5,18,2,0,25,5,
2024-04-29,2,3,control,,2,3,,,,,,
2024-04-29,2,4,control,phyto,2,11,13,0,0,10,5,
2024-04-29,2,4,control,phyto,2,9,,,,,,
2024-04-29,2,5,S_P high,phyto,0,,,,,2,5, 
2024-04-29,2,6,A high,phyto,0,,,2,0,5,5,
2024-04-29,2,7,S_P low,phyto,0,,,3,1,10,5,
2024-04-29,2,8,S_s low,phyto,4,7,15,x,0,5,10,
2024-04-29,2,8,S_s low,phyto,4,6,,,,,,
2024-04-29,2,8,S_s low,phyto,4,7,,,,,,
2024-04-29,2,8,S_s low,phyto,4,5,,,,,,
2024-04-29,2,9,S_P high,big,1,0,NA,2,2,0,2,
2024-04-29,2,10,S_P high,big,2,0,NA,2,0,0,5,
,3,1,control,phyto,,,,,,,,
,3,2,A high,phyto,,,,,,,,
,3,3,A low,phyto,,,,,,,,
,3,4,S_s high,phyto,,,,,,,,
,3,5,S_P high,phyto,,,,,,,,
,,,,big,,,,,,,,
,,,,big,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,3,6,S_s low,phyto,,,,,,,,
,3,7,S_P low,phyto,,,,,,,,
,,,,big,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,3,8,control,phyto,,,,,,,,
,3,9,S_P high,big,,,,,,,,Gopher damage to background SP
,* no phytometer,,,big,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,3,10,S_P high,big,,,,,,,,
,* no phytometer,,,big,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
2024-04-29,4,1,A high,phyto,,,,,,5,5,
2024-04-29,4,2,S_s low,phyto,4,2,17,x,0,70,10,
2024-04-29,4,2,S_s low,phyto,4,1,,,,,,
2024-04-29,4,2,S_s low,phyto,4,1,,,,,,
2024-04-29,4,2,S_s low,phyto,4,1,,,,,,
2024-04-29,4,3,S_s high,phyto,5,2,21,x,0,70,15,
2024-04-29,4,3,S_s high,phyto,5,17,,,,,,
2024-04-29,4,3,S_s high,phyto,5,1,,,,,,
2024-04-29,4,3,S_s high,phyto,5,7,,,,,,
2024-04-29,4,3,S_s high,phyto,5,1,,,,,,
2024-04-29,4,4,A low,phyto,0,,,0,0,20,25,
2024-04-29,4,5,S_P low,phyto,0,,,0,0,15,15,
2024-04-29,4,6,S_P high,phyto,0,,,2,0,10,5,
2024-04-29,4,7,control,phyto,0,,,0,0,60,10,
2024-04-29,4,8,control,phyto,0,NA,,0,0,40,10,
2024-04-29,4,9,S_P high,big,0,NA,,0,0,45,10,
2024-04-29,4,10,S_P high,big,0,NA,,0,0,20,2,
2024-04-29,5,1,S_s high,phyto,3,7,12,unweeded,0,15,60,unweeded
2024-04-29,5,1,S_s high,phyto,3,1,,,,,,
2024-04-29,5,1,S_s high,phyto,3,8,,,,,,
2024-04-29,5,2,A low,phyto,0,NA,NA,0,0,15,60,
2024-04-29,5,3,S_P high,phyto,0,NA,NA,0,1,10,15,
2024-04-29,5,4,S_P low,phyto,1,0,,0,0,20,10,
2024-04-29,5,5,S_s low,phyto,3,7,16,unweeded,0,40,10,
2024-04-29,5,5,S_s low,phyto,3,12,,,,,,
2024-04-29,5,5,S_s low,phyto,3,5,,,,,,
2024-04-29,5,6,control,phyto,0,NA,NA,0,0,25,15,
2024-04-29,5,7,A high,phyto,0,NA,NA,0,0,,,
2024-04-29,5,8,control,phyto,0,NA,NA,1,3,10,15,
2024-04-29,5,9,S_P high,big,0,NA,NA,1,2,5,5,
2024-04-29,5,10,S_P high,big,0,NA,NA,3,0,15,5,
2024-04-29,6,1,A low,phyto,0,NA,NA,0,0,10,20,
2024-04-29,6,2,A high,phyto,0,NA,NA,2,0,5,20,almost no avena
2024-04-29,6,3,S_s low,phyto,13,1,13,unweeded,0,20,10,
2024-04-29,6,3,S_s low,phyto,13,1,,,,,,
2024-04-29,6,3,S_s low,phyto,13,1,,,,,,
2024-04-29,6,3,S_s low,phyto,13,1,,,,,,
2024-04-29,6,3,S_s low,phyto,13,0,,,,,,
2024-04-29,6,3,S_s low,phyto,13,0,,,,,,
2024-04-29,6,3,S_s low,phyto,13,0,,,,,,
2024-04-29,6,3,S_s low,phyto,13,0,,,,,,
2024-04-29,6,3,S_s low,phyto,13,0,,,,,,
2024-04-29,6,3,S_s low,phyto,13,0,,,,,,
2024-04-29,6,3,S_s low,phyto,13,0,,,,,,
2024-04-29,6,3,S_s low,phyto,13,0,,,,,,
2024-04-29,6,3,S_s low,phyto,13,0,,,,,,
2024-04-29,6,4,control,phyto,1,0,NA,5,0,15,10,
2024-04-29,6,5,S_s high,phyto,13,1,12,unweeded,0,10,10,
2024-04-29,6,5,S_s high,phyto,13,6,,,,,,
2024-04-29,6,5,S_s high,phyto,13,0,,,,,,
2024-04-29,6,5,S_s high,phyto,13,1,,,,,,
2024-04-29,6,5,S_s high,phyto,13,1,,,,,,
2024-04-29,6,5,S_s high,phyto,13,0,,,,,,
2024-04-29,6,5,S_s high,phyto,13,1,,,,,,
2024-04-29,6,5,S_s high,phyto,13,1,,,,,,
2024-04-29,6,5,S_s high,phyto,13,8,,,,,,
2024-04-29,6,5,S_s high,phyto,13,4,,,,,,
2024-04-29,6,5,S_s high,phyto,13,5,,,,,,
2024-04-29,6,5,S_s high,phyto,13,7,,,,,,
2024-04-29,6,5,S_s high,phyto,13,2,,,,,,
2024-04-29,6,6,S_P low,phyto,0,NA,NA,2,0,15,5,
2024-04-29,6,7,control,phyto,0,0,NA,2,0,20,5,
2024-04-29,6,8,S_P high,phyto,0,NA,NA,0,0,15,0,
2024-04-29,6,9,S_P high,big,0,,,0,0,10,3,
2024-04-29,6,10,S_P high,big,1,0,,0,0,10,0,
2024-04-30,7,1,S_P high,phyto,2,0,,2,0,,,
2024-04-30,7,2,S_s high,,32,7,11,unweeded,0,5,0,
2024-04-30,7,2,S_s high,,32,1,,,,,,
2024-04-30,7,2,S_s high,,32,9,,,,,,
2024-04-30,7,2,S_s high,,32,2,,,,,,
2024-04-30,7,2,S_s high,,32,2,,,,,,
2024-04-30,7,2,S_s high,,32,6,,,,,,
2024-04-30,7,2,S_s high,,32,2,,,,,,
2024-04-30,7,2,S_s high,,32,8,,,,,,
2024-04-30,7,2,S_s high,,32,2,,,,,,
2024-04-30,7,2,S_s high,,32,4,,,,,,
2024-04-30,7,2,S_s high,,32,4,,,,,,
2024-04-30,7,2,S_s high,,32,4,,,,,,
2024-04-30,7,2,S_s high,,32,3,,,,,,
2024-04-30,7,2,S_s high,,32,5,,,,,,
2024-04-30,7,2,S_s high,,32,3,,,,,,
2024-04-30,7,2,S_s high,,32,2,,,,,,
2024-04-30,7,2,S_s high,,32,2,,,,,,
2024-04-30,7,2,S_s high,,32,1,,,,,,
2024-04-30,7,2,S_s high,,32,5,,,,,,
2024-04-30,7,2,S_s high,,32,2,,,,,,
2024-04-30,7,2,S_s high,,32,4,,,,,,
2024-04-30,7,2,S_s high,,32,1,,,,,,
2024-04-30,7,2,S_s high,,32,1,,,,,,
2024-04-30,7,2,S_s high,,32,2,,,,,,
2024-04-30,7,2,S_s high,,32,4,,,,,,
2024-04-30,7,2,S_s high,,32,8,,,,,,
2024-04-30,7,2,S_s high,,32,1,,,,,,
2024-04-30,7,2,S_s high,,32,1,,,,,,
2024-04-30,7,2,S_s high,,32,7,,,,,,
2024-04-30,7,2,S_s high,,32,0,,,,,,
2024-04-30,7,2,S_s high,,32,0,,,,,,
2024-04-30,7,2,S_s high,,32,0,,,,,,
2024-04-30,7,3,A high,,3,2,,,,,,
2024-04-30,7,3,A high,,3,1,,,,,,
2024-04-30,7,3,A high,,3,2,,1,0,5,0,
2024-04-30,7,4,S_P low,phyto,0,NA,NA,3,2,10,5,
2024-04-30,7,5,S_s low,phyto,13,21,19,x,0,15,5,
2024-04-30,7,5,S_s low,phyto,13,11,,,,,,
2024-04-30,7,5,S_s low,phyto,13,5,,,,,,
2024-04-30,7,5,S_s low,phyto,13,2,,,,,,
2024-04-30,7,5,S_s low,phyto,13,5,,,,,,
2024-04-30,7,5,S_s low,phyto,13,8,,,,,,
2024-04-30,7,5,S_s low,phyto,13,4,,,,,,
2024-04-30,7,5,S_s low,phyto,13,6,,,,,,
2024-04-30,7,5,S_s low,phyto,13,8,,,,,,
2024-04-30,7,5,S_s low,phyto,13,6,,,,,,
2024-04-30,7,5,S_s low,phyto,13,5,,,,,,
2024-04-30,7,5,S_s low,phyto,13,13,,,,,,
2024-04-30,7,5,S_s low,phyto,13,2,,,,,,
2024-04-30,7,6,control,phyto,0,NA,,8,1,5,10,
2024-04-30,7,7,A low,phyto,1,9,21,1,0,5,5,
2024-04-30,7,8,control,phyto,4,7,25,9,8,5,5,
2024-04-30,7,8,control,phyto,4,11,,,,,,
2024-04-30,7,8,control,phyto,4,4,,,,,,
2024-04-30,7,8,control,phyto,4,0,,,,,,
2024-04-30,7,9,S_P high,big,2,0,,1,0,5,0,
2024-04-30,7,10,S_P high,big,0,NA,NA,2,0,5,0,
2024-04-30,8,1,control,phyto,2,0,NA,1,0,15,0,
2024-04-30,8,2,S_P high,phyto,1,0,NA,2,0,5,0,
2024-04-30,8,3,A high,phyto,2,0,NA,0,0,10,0,
2024-04-30,8,3,A high,phyto,2,0,,,,,,
2024-04-30,8,4,control,phyto,1,2,20,0,0,2,40,
2024-04-30,8,5,S_s low,phyto,14,4,18,x,0,40,1,
2024-04-30,8,5,S_s low,phyto,14,1,,,,,,
2024-04-30,8,5,S_s low,phyto,14,2,,,,,,
2024-04-30,8,5,S_s low,phyto,14,13,,,,,,
2024-04-30,8,5,S_s low,phyto,14,5,,,,,,
2024-04-30,8,5,S_s low,phyto,14,5,,,,,,
2024-04-30,8,5,S_s low,phyto,14,3,,,,,,
2024-04-30,8,5,S_s low,phyto,14,3,,,,,,
2024-04-30,8,5,S_s low,phyto,14,1,,,,,,
2024-04-30,8,5,S_s low,phyto,14,1,,,,,,
2024-04-30,8,5,S_s low,phyto,14,2,,,,,,
2024-04-30,8,5,S_s low,phyto,14,1,,,,,,
2024-04-30,8,5,S_s low,phyto,14,1,,,,,,
2024-04-30,8,5,S_s low,phyto,14,8,,,,,,
2024-04-30,8,6,S_P low,phyto,0,NA,NA,0,0,5,0,
2024-04-30,8,7,S_s high,phyto,22,6,13,x,0,5,2,
2024-04-30,8,7,S_s high,phyto,22,4,,,,,,
2024-04-30,8,7,S_s high,phyto,22,1,,,,,,
2024-04-30,8,7,S_s high,phyto,22,2,,,,,,
2024-04-30,8,7,S_s high,phyto,22,1,,,,,,
2024-04-30,8,7,S_s high,phyto,22,2,,,,,,
2024-04-30,8,7,S_s high,phyto,22,0,,,,,,
2024-04-30,8,7,S_s high,phyto,22,6,,,,,,
2024-04-30,8,7,S_s high,phyto,22,8,,,,,,
2024-04-30,8,7,S_s high,phyto,22,1,,,,,,
2024-04-30,8,8,A low,phyto,0,NA,NA,1,0,70,0,
2024-04-30,8,9,S_P high,big,,,,,,,,"Gopher damage to background SP, unweeded?, Dropped"
2024-04-30,8,10,S_P high,big,,,,,,,,"Gopher damage to background SP, unweeded?, Dropped"
,9,1,A low,phyto,,,,,,,,
,9,2,S_s low,phyto,,,,,,,,
,9,3,A high,phyto,,,,,,,,
,9,4,control,phyto,,,,,,,,
,9,5,S_P high,phyto,,,,,,,,Gopher damage to background SP
,,,,big,,,,,,,,
,,,,big,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,9,6,S_P low,phyto,,,,,,,,Gopher damage to background SP
,,,,big,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,9,7,S_s high,phyto,,,,,,,,
,9,8,control,phyto,,,,,,,,
,9,9,S_P high,big,,,,,,,,
,* no phytometer,,,big,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,9,10,S_P high,big,,,,,,,,
,* no phytometer,,,big,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
,,,,med,,,,,,,,
2024-05-01,10,1,S_s high,phyto,19,17,31,x,0,10,15,
2024-05-01,10,1,S_s high,phyto,19,16,,,,,,
2024-05-01,10,1,S_s high,phyto,19,17,,,,,,
2024-05-01,10,1,S_s high,phyto,19,10,,,,,,
2024-05-01,10,1,S_s high,phyto,19,22,,,,,,
2024-05-01,10,1,S_s high,phyto,19,4,,,,,,
2024-05-01,10,1,S_s high,phyto,19,9,,,,,,
2024-05-01,10,1,S_s high,phyto,19,10,,,,,,
2024-05-01,10,1,S_s high,phyto,19,9,,,,,,
2024-05-01,10,1,S_s high,phyto,19,17,,,,,,
2024-05-01,10,2,S_s low,phyto,17,7,28,x,0,5,10,
2024-05-01,10,2,S_s low,phyto,17,31,,,,,,
2024-05-01,10,2,S_s low,phyto,17,12,,,,,,
2024-05-01,10,2,S_s low,phyto,17,44,,,,,,
2024-05-01,10,2,S_s low,phyto,17,3,,,,,,
2024-05-01,10,2,S_s low,phyto,17,1,,,,,,
2024-05-01,10,2,S_s low,phyto,17,0,,,,,,
2024-05-01,10,2,S_s low,phyto,17,7,,,,,,
2024-05-01,10,2,S_s low,phyto,17,22,,,,,,
2024-05-01,10,2,S_s low,phyto,17,4,,,,,,
2024-05-01,10,3,control,phyto,1,0,NA,,,5,15,
2024-05-01,10,4,S_P low,phyto,0,NA,NA,0,0,5,15,
2024-05-01,10,5,S_P high,phyto,0,NA,NA,0,0,5,5,
2024-05-01,,,,big,,,,,,,,
2024-05-01,10,6,A high,phyto,0,NA,NA,0,0,5,30,
2024-05-01,10,7,control,phyto,0,NA,NA,0,0,10,20,
2024-05-01,10,8,A low,phyto,0,,,1,0,60,25,
2024-05-01,10,9,S_P high,big,1,0,,0,0,25,20,Gopher damage
2024-05-01,10,10,S_P high,big,5,1,im,0,0,15,10,Gopher damage
2024-05-01,* no phytometer,,,big,5,1,,,,,,
2024-05-01,10,10,S_P high,med,5,0,,,,,,
2024-05-01,10,10,S_P high,med,5,0,,,,,,
2024-05-01,10,10,S_P high,med,5,1,,,,,,
2024-05-01,11,1,control,phyto,0,,,0,1,15,30,
2024-05-01,11,2,S_P low,phyto,1,17,30,0,0,5,5,
2024-05-01,11,3,control,phyto,0,,,1,0,20,15,
2024-05-01,11,4,S_s low,phyto,11,4,14,unweeded,,60,10,
2024-05-01,11,4,S_s low,phyto,11,3,,,,,,
2024-05-01,11,4,S_s low,phyto,11,14,,,,,,
2024-05-01,11,4,S_s low,phyto,11,6,,,,,,
2024-05-01,11,4,S_s low,phyto,11,4,,,,,,
2024-05-01,11,4,S_s low,phyto,11,3,,,,,,
2024-05-01,11,4,S_s low,phyto,11,0,,,,,,
2024-05-01,11,4,S_s low,phyto,11,0,,,,,,
2024-05-01,11,4,S_s low,phyto,11,1,,,,,,
2024-05-01,11,4,S_s low,phyto,11,5,,,,,,
2024-05-01,11,5,S_P high,phyto,0,,,2,10,10,5,
2024-05-01,11,6,S_s high,phyto,5,0,21,unweeded,,10,15,
2024-05-01,11,6,S_s high,phyto,5,6,,,,,,
2024-05-01,11,6,S_s high,phyto,5,4,,,,,,
2024-05-01,11,6,S_s high,phyto,5,2,,,,,,
2024-05-01,11,6,S_s high,phyto,5,0,,,,,,
2024-05-01,11,7,A low,phyto,0,,,0,0,5,15,
2024-05-01,11,8,A high,phyto,0,,,0,0,2,35,
2024-05-01,11,9,S_P high,big,0,,,,,0,70,"Gopher damage, Drop"
2024-05-01,11,10,S_P high,big,0,,,,,,,"Gopher damage, Drop"
2024-05-01,12,1,control,phyto,0,,,0,0,0,35,
2024-05-01,12,2,A high,phyto,0,,,0,0,0,50,Gopher?
2024-05-01,12,3,S_P high,phyto,1,0,,0,0,5,25,
2024-05-01,12,4,S_P low,phyto,1,0,NA,0,1,25,15,
2024-05-01,12,5,S_s low,phyto,12,4,12,unweeded,,20,5,
2024-05-01,12,5,S_s low,phyto,12,1,,,,,,
2024-05-01,12,5,S_s low,phyto,12,2,,,,,,
2024-05-01,12,5,S_s low,phyto,12,2,,,,,,
2024-05-01,12,5,S_s low,phyto,12,1,,,,,,
2024-05-01,12,5,S_s low,phyto,12,3,,,,,,
2024-05-01,12,5,S_s low,phyto,12,0,,,,,,
2024-05-01,12,5,S_s low,phyto,12,3,,,,,,
2024-05-01,12,5,S_s low,phyto,12,1,,,,,,
2024-05-01,12,5,S_s low,phyto,12,2,,,,,,
2024-05-01,12,6,A low,phyto,0,NA,NA,0,0,2,15,
2024-05-01,12,7,control,phyto,0,NA,NA,0,0,0,20,
2024-05-01,12,8,S_s high,phyto,12,5,26,unweeded,,15,5,
2024-05-01,12,8,S_s high,phyto,12,0,,,,,,
2024-05-01,12,8,S_s high,phyto,12,9,,,,,,
2024-05-01,12,8,S_s high,phyto,12,1,,,,,,
2024-05-01,12,8,S_s high,phyto,12,1,,,,,,
2024-05-01,12,8,S_s high,phyto,12,0,,,,,,
2024-05-01,12,8,S_s high,phyto,12,0,,,,,,
2024-05-01,12,8,S_s high,phyto,12,0,,,,,,
2024-05-01,12,8,S_s high,phyto,12,16,,,,,,
2024-05-01,12,8,S_s high,phyto,12,0,,,,,,
2024-05-01,12,9,S_P high,big,2,0,im,0,0,2,5,
2024-05-01,12,9,S_P high,big,2,1,,,,,,
2024-05-01,12,10,S_P high,big,1,0,NA,0,0,,,Gopher
2024-05-02,13,1,S_s high,phyto,15,1,21,unweeded,,20,30,
2024-05-02,13,1,S_s high,phyto,15,2,,,,,,
2024-05-02,13,1,S_s high,phyto,15,3,,,,,,
2024-05-02,13,1,S_s high,phyto,15,0,,,,,,
2024-05-02,13,1,S_s high,phyto,15,0,,,,,,
2024-05-02,13,1,S_s high,phyto,15,1,,,,,,
2024-05-02,13,1,S_s high,phyto,15,1,,,,,,
2024-05-02,13,1,S_s high,phyto,15,4,,,,,,
2024-05-02,13,1,S_s high,phyto,15,1,,,,,,
2024-05-02,13,1,S_s high,phyto,15,1,,,,,,
2024-05-02,13,2,control,phyto,0,NA,,5,1,2,15,
2024-05-02,13,3,S_P low,phyto,2,0,NA,0,0,2,10,
2024-05-02,13,4,control,phyto,1,1,im,1,0,10,5,
2024-05-02,13,5,A low,phyto,0,NA,NA,0,0,10,5,
2024-05-02,13,6,S_P high,phyto,0,NA,NA,0,0,5,5,
2024-05-02,13,7,A high,phyto,0,NA,NA,0,0,0,0,
2024-05-02,13,8,S_s low,phyto,7,11,23,unweeded,,2,5,
2024-05-02,13,8,S_s low,phyto,7,4,,,,,,
2024-05-02,13,8,S_s low,phyto,7,0,,,,,,
2024-05-02,13,8,S_s low,phyto,7,0,,,,,,
2024-05-02,13,8,S_s low,phyto,7,2,,,,,,
2024-05-02,13,8,S_s low,phyto,7,0,,,,,,
2024-05-02,13,8,S_s low,phyto,7,0,,,,,,
2024-05-02,13,9,S_P high,big,0,NA,NA,0,3,2,2,
2024-05-02,13,10,S_P high,big,0,NA,NA,3,2,0,25,
2024-05-02,14,1,S_P high,phyto,3,0,im,1,4,5,5,
2024-05-02,14,1,S_P high,phyto,3,2,,,,,,
2024-05-02,14,1,S_P high,phyto,3,1,,,,,,
2024-05-02,14,2,A low,phyto,3,0,,5,1,20,30,
2024-05-02,14,2,A low,phyto,3,0,,,,,,
2024-05-02,14,2,A low,phyto,3,0,,,,,,
2024-05-02,14,3,S_P low,phyto,0,NA,NA,1,0,15,15,
2024-05-02,14,4,S_s low,phyto,7,1,12,unweeded,,35,20,
2024-05-02,14,4,S_s low,phyto,7,7,,,,,,
2024-05-02,14,4,S_s low,phyto,7,3,,,,,,
2024-05-02,14,4,S_s low,phyto,7,2,,,,,,
2024-05-02,14,4,S_s low,phyto,7,2,,,,,,
2024-05-02,14,4,S_s low,phyto,7,4,,,,,,
2024-05-02,14,4,S_s low,phyto,7,12,,,,,,
2024-05-02,14,5,A high,phyto,1,0,NA,1,1,15,25,
2024-05-02,14,6,control,phyto,0,,,11,3,35,15,
2024-05-02,14,7,control,phyto,1,0,NA,2,1,30,15,
2024-05-02,14,8,S_s high,phyto,21,2,29,unweeded,,10,10,
2024-05-02,14,8,S_s high,phyto,21,8,,,,,,
2024-05-02,14,8,S_s high,phyto,21,1,,,,,,
2024-05-02,14,8,S_s high,phyto,21,5,,,,,,
2024-05-02,14,8,S_s high,phyto,21,4,,,,,,
2024-05-02,14,8,S_s high,phyto,21,0,,,,,,
2024-05-02,14,8,S_s high,phyto,21,2,,,,,,
2024-05-02,14,8,S_s high,phyto,21,3,,,,,,
2024-05-02,14,8,S_s high,phyto,21,7,,,,,,
2024-05-02,14,8,S_s high,phyto,21,2,,,,,,
2024-05-02,14,8,S_s high,phyto,21,0,,,,,,
2024-05-02,14,9,S_P high,big,1,0,,3,0,5,5,
2024-05-02,14,10,S_P high,big,1,0,,3,1,3,2,
2024-05-02,15,1,control,phyto,0,NA,NA,0,0,5,15,
2024-05-02,15,2,S_s low,phyto,13,2,14,unweeded,,0,50,
2024-05-02,15,2,S_s low,phyto,13,0,,,,,,
2024-05-02,15,2,S_s low,phyto,13,0,,,,,,
2024-05-02,15,2,S_s low,phyto,13,0,,,,,,
2024-05-02,15,2,S_s low,phyto,13,0,,,,,,
2024-05-02,15,2,S_s low,phyto,13,0,,,,,,
2024-05-02,15,2,S_s low,phyto,13,0,,,,,,
2024-05-02,15,2,S_s low,phyto,13,0,,,,,,
2024-05-02,15,2,S_s low,phyto,13,0,,,,,,
2024-05-02,15,2,S_s low,phyto,13,0,,,,,,
2024-05-02,15,3,S_P low,phyto,,,,,,0,5,
2024-05-02,15,4,A low,phyto,1,8,28,1,1,2,15,
2024-05-02,15,5,control,phyto,0,NA,NA,2,0,2,15,
2024-05-02,15,6,A high,phyto,1,0,NA,3,0,2,20,
2024-05-02,15,7,S_P high,phyto,0,NA,NA,3,1,0,5,
2024-05-02,15,8,S_s high,phyto,18,3,16,unweeded,,2,20,
2024-05-02,15,8,S_s high,phyto,18,1,,,,,,
2024-05-02,15,8,S_s high,phyto,18,0,,,,,,
2024-05-02,15,8,S_s high,phyto,18,0,,,,,,
2024-05-02,15,8,S_s high,phyto,18,7,,,,,,
2024-05-02,15,8,S_s high,phyto,18,5,,,,,,
2024-05-02,15,8,S_s high,phyto,18,2,,,,,,
2024-05-02,15,8,S_s high,phyto,18,0,,,,,,
2024-05-02,15,8,S_s high,phyto,18,0,,,,,,
2024-05-02,15,8,S_s high,phyto,18,1,,,,,,
2024-05-02,15,9,S_P high,big,0,NA,NA,0,0,0,5,
2024-05-02,15,10,S_P high,big,0,NA,NA,3,0,2,10,
2024-05-02,16,1,S_s high,phyto,27,2,7,unweeded,,0,5,
2024-05-02,16,1,S_s high,phyto,27,0,,,,,,
2024-05-02,16,1,S_s high,phyto,27,0,,,,,,
2024-05-02,16,1,S_s high,phyto,27,0,,,,,,
2024-05-02,16,1,S_s high,phyto,27,0,,,,,,
2024-05-02,16,1,S_s high,phyto,27,7,,,,,,
2024-05-02,16,1,S_s high,phyto,27,0,,,,,,
2024-05-02,16,1,S_s high,phyto,27,4,,,,,,
2024-05-02,16,1,S_s high,phyto,27,0,,,,,,
2024-05-02,16,1,S_s high,phyto,27,2,,,,,,
2024-05-02,16,2,control,phyto,3,0,NA,2,1,5,10,
2024-05-02,16,3,S_P high,phyto,0,NA,NA,2,0,5,5,
2024-05-02,16,4,S_P low,phyto,0,NA,NA,3,0,5,5,
2024-05-02,16,5,S_s low,phyto,10,5,14,unweeded,,10,10,
2024-05-02,16,5,S_s low,phyto,10,0,,,,,,
2024-05-02,16,5,S_s low,phyto,10,0,,,,,,
2024-05-02,16,5,S_s low,phyto,10,5,,,,,,
2024-05-02,16,5,S_s low,phyto,10,2,,,,,,
2024-05-02,16,5,S_s low,phyto,10,2,,,,,,
2024-05-02,16,5,S_s low,phyto,10,0,,,,,,
2024-05-02,16,5,S_s low,phyto,10,1,,,,,,
2024-05-02,16,5,S_s low,phyto,10,2,,,,,,
2024-05-02,16,5,S_s low,phyto,10,0,,,,,,
2024-05-02,16,6,A high,phyto,2,1,7,0,0,0,5,
2024-05-02,16,6,A high,phyto,2,1,,,,,,
2024-05-02,16,7,A low,phyto,3,0,NA,0,0,5,15,
2024-05-02,16,8,control,phyto,4,4,8,2,0,15,10,
2024-05-02,16,8,control,phyto,4,4,,,,,,
2024-05-02,16,8,control,phyto,4,2,,,,,,
2024-05-02,16,8,control,phyto,4,0,,,,,,
2024-05-02,16,9,S_P high,big,0,,NA,14,6,0,5,
2024-05-02,16,10,S_P high,big,3,0,NA,1,0,2,5,