tiller.id,seeds,plant.id,block,plot
1,15,1,8,2
2,18,1,8,2
3,14,1,8,2
4,9,1,8,2
5,6,1,8,2
6,11,1,8,2
7,10,1,8,2
8,12,1,8,2
9,14,2,8,2
10,12,2,8,2
11,8,3,8,2
12,9,4,8,3
13,5,5,8,4
14,5,5,8,4
15,7,6,8,6
16,13,6,8,6
17,27,7,8,6
18,22,7,8,6
19,23,7,8,6
20,9,8,8,7
21,6,9,8,8
22,5,10,6,1
23,6,10,6,1
24,7,10,6,1
25,11,11,6,2
26,8,11,6,2
27,15,12,6,3
28,16,12,6,3
29,7,13,6,4
30,12,14,6,5
31,13,15,6,6
32,19,15,6,6
33,12,15,6,6
34,10,16,6,6
35,11,17,6,6
36,14,18,6,7
37,22,19,6,8
38,16,20,6,8