old block,new block,plot,background,notes
7,1,1,S_P low,2 spaces skipped betwen 1 and 2 because of a rock
7,1,2,control,
7,1,3,A low,
7,1,4,S_s low,
7,1,5,control,
7,1,6,S_P high,
7,1,7,S_s high,
7,1,8,A high,Natâ€™s trifolium plots between 8 and 9
7,1,9,S_P low,
7,1,10,S_P high,
22,2,1,A low,
22,2,2,S_s high,
22,2,3,control,
22,2,4,control,
22,2,5,S_P high,
22,2,6,A high,
22,2,7,S_P low,
22,2,8,S_s low,
22,2,9,S_P low,
22,2,10,S_P high,
3,3,1,control,
3,3,2,A high,
3,3,3,A low,
3,3,4,S_s high,
3,3,5,S_P high,
3,3,6,S_s low,
3,3,7,S_P low,
3,3,8,control,
3,3,9,S_P high,
3,3,10,S_P low,
10,4,1,A high,
10,4,2,S_s low,
10,4,3,S_s high,
10,4,4,A low,
10,4,5,S_P low,
10,4,6,S_P high,
10,4,7,control,
10,4,8,control,
10,4,9,S_P low,
10,4,10,S_P high,
16,5,1,S_s high,
16,5,2,A low,
16,5,3,S_P high,
16,5,4,S_P low,
16,5,5,S_s low,
16,5,6,control,
16,5,7,A high,
16,5,8,control,
16,5,9,S_P low,
16,5,10,S_P high,
27,6,1,A low,
27,6,2,A high,
27,6,3,S_s low,
27,6,4,control,
27,6,5,S_s high,
27,6,6,S_P low,
27,6,7,control,
27,6,8,S_P high,
27,6,9,S_P high,
27,6,10,S_P low,
24,7,1,S_P high,
24,7,2,S_s high,
24,7,3,A high,
24,7,4,S_P low,
24,7,5,S_s low,
24,7,6,control,
24,7,7,A low,
24,7,8,control,
24,7,9,S_P high,
24,7,10,S_P low,
15,8,1,control,
15,8,2,S_P high,
15,8,3,A high,
15,8,4,control,
15,8,5,S_s low,
15,8,6,S_P low,
15,8,7,S_s high,
15,8,8,A low,
15,8,9,S_P low,
15,8,10,S_P high,
17,9,1,A low,
17,9,2,S_s low,
17,9,3,A high,
17,9,4,control,
17,9,5,S_P high,
17,9,6,S_P low,
17,9,7,S_s high,
17,9,8,control,
17,9,9,S_P low,
17,9,10,S_P high,
1,10,1,S_s high,
1,10,2,S_s low,
1,10,3,control,
1,10,4,S_P low,
1,10,5,S_P high,
1,10,6,A high,
1,10,7,control,
1,10,8,A low,
1,10,9,S_P high,
1,10,10,S_P low,
21,11,1,control,
21,11,2,S_P low,
21,11,3,control,
21,11,4,S_s low,
21,11,5,S_P high,
21,11,6,S_s high,
21,11,7,A low,
21,11,8,A high,
21,11,9,S_P high,
21,11,10,S_P low,
13,12,1,control,
13,12,2,A high,
13,12,3,S_P high,
13,12,4,S_P low,
13,12,5,S_s low,
13,12,6,A low,
13,12,7,control,
13,12,8,S_s high,
13,12,9,S_P low,
13,12,10,S_P high,
26,13,1,S_s high,
26,13,2,control,
26,13,3,S_P low,
26,13,4,control,
26,13,5,A low,
26,13,6,S_P high,
26,13,7,A high,"S_s low dropped into this plot too, picked out by hand"
26,13,8,S_s low,
26,13,9,S_P high,
26,13,10,S_P low,
28,14,1,S_P high,
28,14,2,A low,
28,14,3,S_P low,
28,14,4,S_s low,
28,14,5,A high,
28,14,6,control,
28,14,7,control,
28,14,8,S_s high,
28,14,9,S_P high,
28,14,10,S_P low,
29,15,1,control,
29,15,2,S_s low,
29,15,3,S_P low,
29,15,4,A low,
29,15,5,control,
29,15,6,A high,
29,15,7,S_P high,
29,15,8,S_s high,
29,15,9,S_P low,
29,15,10,S_P high,
31,16,1,S_s high,
31,16,2,control,
31,16,3,S_P high,
31,16,4,S_P low,
31,16,5,S_s low,
31,16,6,A high,
31,16,7,A low,
31,16,8,control,
31,16,9,S_P low,
31,16,10,S_P high,